酒店名称	酒店类型	位置信息	起价	评分	点评数
7天酒店(哈尔滨中央大街民安街店)	经济型	近新阳路 · 江南大学城	¥387起	4.8	共242条评论
民航空港宾馆(哈尔滨国际候机厅店)	舒适型	近先富小学校 · 太平国际机场地区	¥496起	4.8	共589条评论
哈尔滨万达文华酒店	豪华型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥1849起	4.9	共3144条评论
雅朵精品酒店(哈尔滨中华巴洛克店)	舒适型	近中华巴洛克风情街 · 道外巴洛克	¥436起	4.8	共380条评论
美豪丽致酒店(哈尔滨融创乐园店)	高档型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥437起	4.6	共546条评论
米兰精品酒店(哈尔滨火车站店)	舒适型	近新阳路 · 江南大学城	¥493起	4.8	共1288条评论
哈尔滨博物馆火车站亚朵酒店	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥845起	4.9	共1771条评论
悦澜宾馆(哈尔滨医大一院店)	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥400起	4.6	共70条评论
颐居宾馆(学府路医大二院店)	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥328起	4.8	共198条评论
哈尔滨佳益旅馆	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥88起	4.6	共5条评论
哈尔滨舒安公寓(哈西商厦店)	经济型	近黑龙江大学 · 江南大学城	¥141起	4.8	共47条评论
季枫国际酒店(哈尔滨中央大街圣索菲亚教堂店)	舒适型	近兆麟公园 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1105起	4.7	共29条评论
琴与炉假日酒店(哈尔滨道外公路客运站透笼商厦店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥283起	4.9	共1486条评论
藝霏酒店(哈尔滨工业大学店)	舒适型	近哈尔滨工业大学 · 江南大学城	¥521起	4.9	共786条评论
香格丽尔酒店(哈尔滨中央大街索菲亚大教堂店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1392起	4.9	共1294条评论
哈尔滨鑫林宾馆(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥326起	4.4	共102条评论
拾柒间民宿(索菲亚教堂中央大街店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥975起	4.7	共22条评论
如家驿居酒店(哈尔滨中央大街索菲亚教堂火车站北出口店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥529起	4.8	共869条评论
哈尔滨鹤岗宾馆	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥203起	4.9	共169条评论
汉庭优佳酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥539起	4.9	共509条评论
哈尔滨向日葵酒店(中央大街索菲亚教堂店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥545起	4.7	共384条评论
澜途国际公寓	经济型	近哈尔滨西站 · 哈西万达广场	¥243起	4.8	共77条评论
望岳轻呈酒店(哈西高铁站店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥726起	4.9	共666条评论
喜洋洋快捷宾馆(哈尔滨工大店)		近哈尔滨工业大学 · 江南大学城	¥162起	4.8	共62条评论
哈尔滨中央大街亚朵轻居酒店	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1387起	4.9	共1171条评论
恒河春天假日酒店(道外中华巴洛克店)	经济型	近哈尔滨文化公园 · 道外巴洛克	¥286起	4.6	共191条评论
清风雅居公寓(冰雪大世界店)	经济型	近世茂大道地铁站 · 冰雪大世界/太阳岛	¥320起	4.7	共18条评论
哈尔滨伊甸园宾馆	经济型	近731部队罪证遗址 · 平房区政府	¥182起	4.8	共175条评论
桔子水晶哈尔滨中央大街卓展中心酒店	高档型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥1032起	4.9	共1050条评论
哈尔滨中央大街大公馆1903酒店(索菲亚教堂店)	豪华型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2510起	4.9	共5096条评论
哈尔滨和兴路林大美居酒店	高档型	近东北林业大学 · 江南大学城	¥815起	4.9	共393条评论
密斯万象连锁酒店(哈尔滨哈西万达广场西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥312起	4.7	共355条评论
慕思健康睡眠酒店(中央大街冰雪大世界店)	高档型	近哈尔滨冰雪乐园 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1650起	4.8	共198条评论
锦江都城酒店(哈尔滨国际会展中心店)	高档型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥571起	4.9	共925条评论
安悦酒店(哈尔滨高铁西站店)	高档型	近哈尔滨西站 · 哈西万达广场	¥758起	4.7	共60条评论
蓝天假日宾馆(哈尔滨机场店)	舒适型	近先富小学校 · 太平国际机场地区	¥258起	4.9	共2872条评论
哈尔滨会展中心红旗大街亚朵酒店	高档型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥880起	4.9	共1697条评论
坤元漫居酒店(哈尔滨哈西万达广场西客站店)	经济型	近哈西万达广场 · 哈西万达广场	¥481起	4.8	共242条评论
阳光酒店(果戈里医大一院店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥694起	4.8	共30条评论
汉庭酒店(哈尔滨中央大街火车站北广场店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥778起	4.8	共843条评论
汉庭酒店(哈尔滨平房新疆大街店)	经济型	近渤海路地铁站 · 平房区政府	¥470起	4.9	共225条评论
驿居酒店(哈尔滨江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥334起	4.8	共419条评论
鑫彩宾馆(哈尔滨地铁站西大直街店)	经济型	近哈工大地铁站 · 江南大学城	¥230起	4.3	共141条评论
哈尔滨金域蓝爵商务休闲宾馆	经济型	近金域蓝城3期深蓝杰座 · 哈西万达广场	¥294起	4.6	共87条评论
春天精品酒店(哈尔滨红旗大街店)	舒适型	近珠江路地铁站 · 龙塔/会展中心	¥365起	4.8	共706条评论
龙跃宾馆(哈尔滨哈西万达广场高铁站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥102起	4.9	共628条评论
哈尔滨松北融创皇冠假日酒店	豪华型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥897起	4.9	共2065条评论
奥莱酒店(哈尔滨西站哈西万达店)	经济型	近哈尔滨西站 · 哈西万达广场	¥603起	4.9	共423条评论
致臻美宿公寓(群力远大购物中心体育公园地铁站店)	经济型	近远大购物中心(群力店) · 群力新区	¥230起	4.7	共70条评论
東谷靑阁酒店(哈尔滨火车站店)	高档型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥796起	4.8	共2820条评论
麗枫酒店(哈尔滨哈西火车站店)	舒适型	近金域蓝城3期深蓝杰座 · 哈西万达广场	¥567起	4.8	共503条评论
维也纳酒店(哈尔滨哈西高铁万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥609起	4.9	共631条评论
哈尔滨行者咖啡酒店	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥404起	4.8	共193条评论
梵丽民宿(哈西万达广场店)		近哈西万达广场 · 哈西万达广场	¥435起	4.9	共28条评论
七彩假日宾馆(哈尔滨东北林业大学店)	经济型	近东北林业大学 · 江南大学城	¥143起	4.8	共85条评论
哈尔滨慕岸快捷宾馆	舒适型	近黑龙江职业学院 · 双城	¥89起	4.9	共382条评论
百悦年华酒店(哈尔滨太平国际机场店)	舒适型	近太平镇人民政府 · 太平国际机场地区	¥231起	4.9	共3233条评论
喆啡酒店(哈尔滨中央大街店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1043起	4.8	共1419条评论
哈尔滨星宇如枫酒店(省政府店)	舒适型	近省政府地铁站 · 龙塔/会展中心	¥533起	4.9	共15条评论
桔子水晶哈尔滨火车站医大一院酒店	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥775起	4.9	共1073条评论
泊尘酒店(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥698起	4.9	共517条评论
华利尔商务酒店(哈尔滨桦树街地铁站店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥386起	4.9	共464条评论
一克拉酒店(融创乐园太阳岛店)	经济型	近万达滑雪场 · 冰雪大世界/太阳岛	¥357起	4.8	共213条评论
景尚酒店(哈西高铁站万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥456起	4.5	共69条评论
如家精选酒店(哈尔滨林业大学文昌街店)	舒适型	近黑龙江中医药大学附属第一医院 · 江南大学城	¥528起	4.9	共505条评论
鸿顺宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥233起	4.9	共3102条评论
兰欧酒店(哈尔滨学院路店)	舒适型	近黑龙江工商学院 · 江北大学城	¥427起	4.8	共368条评论
全季酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥699起	4.8	共369条评论
汉庭酒店(哈尔滨中央大街步行街店)	经济型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥829起	4.9	共141条评论
哈尔滨家韵宾馆	经济型	近先富小学校 · 太平国际机场地区	¥159起	4.9	共48条评论
雲尚精选酒店(哈西万达广场店高铁站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥489起	4.8	共264条评论
特尔曼电竞酒店	经济型	近江北大学城地铁站 · 江北大学城	¥245起	4.7	共13条评论
哈尔滨佰易连锁酒店	经济型	近龙川路地铁站 · 冰雪大世界/太阳岛	¥266起	4.7	共128条评论
爱客家公寓(哈西万达店)		近哈西万达广场 · 哈西万达广场	¥283起	4.5	共7条评论
瑞居酒店(哈尔滨君康店)	舒适型	近群力大道 · 群力新区	¥216起	4.8	共127条评论
哈尔滨雅客莱酒店(果戈里大街店)	舒适型	近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥564起	4.9	共332条评论
宜必思酒店(哈尔滨师范大学店)	舒适型	近东北林业大学 · 江南大学城	¥449起	4.8	共317条评论
宜必思酒店(哈尔滨中央大街火车站店)	舒适型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥549起	4.8	共706条评论
汉庭酒店(哈尔滨会展中心长江路店)	经济型	近龙塔 · 龙塔/会展中心	¥429起	4.8	共253条评论
一米阳光民宿公寓(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥433起	4.9	共92条评论
天燕假日宾馆(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥343起	4.7	共203条评论
全季酒店(哈尔滨文昌街林业大学店)	舒适型	近黑龙江中医药大学附属第一医院 · 江南大学城	¥674起	4.8	共538条评论
俪莎宾馆(哈尔滨火车南广场店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥478起	4.7	共9条评论
麗枫酒店(哈尔滨果戈里大街秋林广场店)	舒适型	近工人文化宫地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥666起	4.8	共902条评论
龙港宾馆(哈尔滨太平国际机场店)	经济型	近空港一路 · 太平国际机场地区	¥154起	4.6	共146条评论
斑马观影咖啡宾馆	经济型	近哈尔滨工业大学(二校区) · 龙塔/会展中心	¥243起	4.6	共14条评论
Hi  Loft城市民宿	经济型	近中华巴洛克风情街 · 道外巴洛克	¥582起	4.8	共28条评论
哈尔滨水丽汇宾馆(中华巴洛克店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥540起	4.6	共15条评论
极境智慧电竞酒店(哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥606起	4.9	共105条评论
袋鼠优品宾馆(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥374起	4.7	共363条评论
星呈酒店(哈尔滨群力银泰城购物中心店)	舒适型	近群力大道 · 群力新区	¥640起	4.9	共60条评论
棠枫艺术酒店(哈尔滨江畔店)	舒适型	近中华巴洛克风情街 · 道外巴洛克	¥455起	4.5	共272条评论
雅居公寓	经济型	近哈尔滨文化公园 · 道外巴洛克	¥408起	4.9	共18条评论
哈尔滨铂豪万嘉假日酒店	舒适型	近呼兰第一中学 · 呼兰站	¥458起	4.9	共1122条评论
美致电竞智慧酒店(哈尔滨松北融创乐园店)	舒适型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥663起	4.7	共49条评论
锦江都城酒店(哈尔滨哈西高铁站万达广场店)	高档型	近哈尔滨西站 · 哈西万达广场	¥748起	4.9	共3173条评论
华谊东方酒店(哈尔滨中央大街地铁站爱建店)	舒适型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥806起	4.9	共4967条评论
金爵精品酒店(哈尔滨西站万达广场店)	高档型	近哈尔滨西站 · 哈西万达广场	¥771起	4.9	共2204条评论
美致电竞智慧酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥602起	4.9	共82条评论
炫·电竞酒店(哈尔滨哈西万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥513起	4.4	共94条评论
麗枫酒店(哈尔滨宣化街南岗区政府店)	舒适型	近哈尔滨体育学院 · 龙塔/会展中心	¥463起	4.8	共704条评论
汉庭酒店(哈尔滨公路大桥爱建店)	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥570起	4.8	共308条评论
拾光记忆民宿(哈尔滨西站哈西万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥458起	4.7	共30条评论
哈尔滨鑫丰商务宾馆(双城区政府店)	经济型	近哈尔滨市双城区人民政府 · 双城	¥185起	4.9	共144条评论
汉庭酒店(哈尔滨三大动力乐松广场店)	经济型	近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区	¥525起	4.9	共411条评论
哈尔滨金来招待所		近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥47起	4.9	共51条评论
哈尔滨君廷商务宾馆	舒适型	近省医院地铁站 · 龙塔/会展中心	¥387起	4.6	共64条评论
哈尔滨世界欢乐城维景国际大酒店	豪华型	近江北大学城地铁站 · 江北大学城	¥461起	4.7	共609条评论
悦界电竞酒店(哈尔滨哈西万达广场高铁站店)	经济型	近哈西万达广场 · 哈西万达广场	¥462起	4.9	共295条评论
勃莱梅酒店(哈尔滨中央大街店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥864起	4.8	共822条评论
哈尔滨群力远大冬日假期酒店	高档型	近远大购物中心(群力店) · 群力新区	¥815起	4.8	共547条评论
紫悦東方养生沐浴宾馆(哈尔滨哈西万达高铁站店)	经济型	近哈西万达广场 · 哈西万达广场	¥408起	4.8	共16条评论
暖宿民宿(中华巴洛克店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥815起	4.9	共25条评论
哈尔滨斯堡莱登酒店(会展中心店)	豪华型	近珠江路地铁站 · 龙塔/会展中心	¥589起	4.7	共313条评论
西雅公寓式酒店民宿(滨江街分店)		近哈尔滨文化公园 · 道外巴洛克	¥291起	4.7	共23条评论
星程酒店(哈尔滨西站西广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥694起	4.9	共507条评论
如家商旅酒店(哈尔滨会展中心工大二学区嵩山路店)	舒适型	近哈尔滨工业大学(二校区) · 龙塔/会展中心	¥508起	4.9	共414条评论
双和盛泰商务宾馆(哈西万达广场高铁站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥345起	4.8	共242条评论
三人行民宿		近南直路 · 龙塔/会展中心	¥386起	4.9	共27条评论
卓亚假日酒店(学院路江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥354起	4.6	共23条评论
哈尔滨悦枫酒店(中央大街地铁站店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1044起	4.9	共4003条评论
驿居酒店(哈尔滨中央大街店)	舒适型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥789起	4.8	共126条评论
公爵酒店(哈尔滨中央大街店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥824起	4.8	共553条评论
鸿运宾馆(哈尔滨太平国际机场店)	经济型	近空港一路 · 太平国际机场地区	¥274起	4.9	共254条评论
哈尔滨莱斯商务酒店	舒适型	近哈尔滨二四二医院 · 平房区政府	¥503起	4.7	共66条评论
哈尔滨飞达宾馆	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥197起	4.5	共136条评论
洪源公寓(黑大哈尔滨学院店)	经济型	近黑龙江大学 · 江南大学城	¥104起	4.9	共97条评论
品尚宾馆(哈尔滨太平国际机场店)	舒适型	近先富小学校 · 太平国际机场地区	¥433起	4.8	共282条评论
城市酒店(哈尔滨西站万达广场店)	舒适型	近哈西万达广场 · 哈西万达广场	¥442起	4.8	共468条评论
夏日炎炎电竞公寓(哈尔滨哈西万达广场高铁站店)		近哈西大街地铁站 · 哈西万达广场	¥452起	4.9	共198条评论
春航宾馆(哈尔滨机场店)	经济型	近先富小学校 · 太平国际机场地区	¥268起	4.7	共661条评论
丽呈東谷酒店(哈尔滨冰雪大世界店)	高档型	近世茂大道地铁站 · 冰雪大世界/太阳岛	¥605起	4.8	共941条评论
暖幢·艺术城宿(群力松溪公园店)	经济型	近群力大道 · 群力新区	¥408起	4.7	共45条评论
如家酒店·neo(哈尔滨中央大街上游街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥739起	4.7	共741条评论
哈尔滨中央大街元汇智选酒店(哈尔滨站店)	舒适型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥836起	4.9	共230条评论
悦鑫高颜值民宿(中央大街索菲亚大教堂店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥642起	4.8	共250条评论
维也纳3好酒店(哈尔滨师范大学店)	舒适型	近学府路地铁站 · 江南大学城	¥523起	4.8	共580条评论
喆啡酒店(哈尔滨哈西高铁站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥370起	4.9	共2294条评论
如家商旅酒店(哈尔滨西站理工大学店)	舒适型	近黑龙江大学 · 江南大学城	¥394起	4.9	共639条评论
哈尔滨富鑫春洗浴宾馆	经济型	近731部队罪证遗址 · 平房区政府	¥205起	4.8	共68条评论
哈尔滨中央大街际丰假日酒店(防洪纪念塔店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1152起	4.7	共1790条评论
全季酒店(哈尔滨景阳街中华巴洛克店)	舒适型	近中华巴洛克风情街 · 道外巴洛克	¥760起	4.6	共289条评论
莫泰酒店(哈尔滨中央大街索菲亚教堂透笼商厦店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥560起	4.7	共247条评论
丽呈東谷酒店(哈尔滨西站万达广场店)	高档型	近哈尔滨西站 · 哈西万达广场	¥1170起	4.9	共4103条评论
如家精选酒店(哈尔滨中央大街新阳路机场巴士站店)	舒适型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥878起	4.9	共170条评论
隆逸大酒店(哈尔滨承德广场巴洛克店)	舒适型	近中华巴洛克风情街 · 道外巴洛克	¥611起	4.6	共455条评论
哈尔滨欧罗巴酒店(中央大街索菲亚店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥925起	4.8	共1523条评论
依依美宿(哈尔滨中央大街店)	经济型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥825起	4.8	共375条评论
哈尔滨金江雅致酒店(中央大街防洪纪念塔店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥541起	4.7	共738条评论
凯澜酒店(哈尔滨中央大街防洪纪念塔店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥781起	4.8	共837条评论
哈尔滨中央大街御枫·蘭悦酒店(爱建卓展店)	舒适型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥1426起	4.9	共1073条评论
哈尔滨中央大街索菲亚美居酒店	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1889起	4.9	共3000条评论
如家商旅酒店(哈尔滨松北冰雪大世界店)	舒适型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥646起	4.9	共323条评论
金子公寓(哈尔滨西站城乡路地铁站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥243起	4.9	共63条评论
如家驿居酒店(哈尔滨林业大学文昌街店)	舒适型	近黑龙江中医药大学 · 江南大学城	¥606起	4.9	共370条评论
哈尔滨万枫酒店(中央大街火车站店)	高档型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥1012起	4.9	共702条评论
宜必思酒店(哈尔滨中央大街机场巴士站酒店)	舒适型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥869起	4.8	共619条评论
马迭尔M+酒店(哈尔滨中央大街地铁站店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1447起	4.8	共1230条评论
丽致酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥752起	4.9	共637条评论
华宿轻居精品酒店(哈尔滨火车站店)	舒适型	近新阳路 · 江南大学城	¥568起	4.8	共626条评论
逸居公寓(哈尔滨冰雪大世界融创乐园店)	经济型	近地中海阳光 · 冰雪大世界/太阳岛	¥339起	4.9	共68条评论
赛家酒店(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥576起	4.9	共244条评论
如家精选酒店(哈尔滨中央大街店)	舒适型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥827起	4.8	共420条评论
四季宾酒店(哈尔滨西站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥486起	4.9	共771条评论
潮漫酒店(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1142起	4.8	共811条评论
哈尔滨凯瑞公寓(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥526起	4.6	共255条评论
如家精选酒店(哈尔滨三大动力哈锅店)	舒适型	近哈尔滨市第五医院 · 乐松广场/东北林业大学/香坊商业区	¥570起	4.8	共365条评论
青丘酒店(哈尔滨火车站医大一院店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥1017起	4.8	共1020条评论
哈尔滨极锋电竞公寓	经济型	近哈西万达广场 · 哈西万达广场	¥376起	4.8	共107条评论
中麦商务酒店(哈尔滨中央大街火车站店)	经济型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥427起	4.3	共284条评论
哈尔滨汇智美爵酒店(哈西高铁站店)	豪华型	近工农大街地铁站 · 哈西万达广场	¥1409起	4.9	共522条评论
勃莱梅假日酒店(哈尔滨索菲亚教堂火车站店)	高档型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥730起	4.4	共222条评论
哈尔滨机场太平湖温泉酒店	高档型	近太平湖温泉小镇一期 · 太平国际机场地区	¥388起	4.8	共34条评论
哈尔滨美丽家公寓	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥194起	4.9	共10条评论
卓菲酒店(哈尔滨中医药大学店)	经济型	近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区	¥412起	4.7	共442条评论
哈尔滨勃莱梅大酒店	豪华型	近省医院地铁站 · 龙塔/会展中心	¥950起	4.8	共318条评论
哈尔滨正明大酒店(火车站医大一院地铁站店)	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥1008起	4.8	共1211条评论
22℃精品主题酒店(哈尔滨群力远大店)	高档型	近远大购物中心(群力店) · 群力新区	¥681起	4.7	共125条评论
卡尔酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥688起	4.9	共1578条评论
金诺宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥315起	4.5	共41条评论
哈尔滨汇智中心甄选酒店(哈尔滨哈西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥395起	4.9	共456条评论
泊尘·古伦酒店(哈尔滨万达广场西站店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥824起	4.9	共181条评论
华宿云上精品酒店(哈尔滨群力王府井店)	高档型	近远大购物中心(群力店) · 群力新区	¥629起	4.9	共523条评论
哈尔滨君逸酒店	豪华型	近哈尔滨体育学院 · 哈尔滨站/果戈里商业区/医大一院	¥2219起	4.9	共4848条评论
锦江之星品尚(哈尔滨中央大街步行街机场巴士站店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥855起	4.7	共728条评论
暖幢城宿(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1104起	4.9	共52条评论
马迭尔MIX酒店(哈尔滨哈西万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥830起	4.7	共323条评论
华韵酒店(哈尔滨高铁西站店)	高档型	近金域蓝城3期深蓝杰座 · 哈西万达广场	¥827起	4.9	共438条评论
桃源假日旅行酒店(哈尔滨中央大街店)	舒适型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥528起	4.7	共562条评论
锦江之星风尚酒店(哈尔滨西站城乡路地铁站店)	经济型	近工农大街地铁站 · 哈西万达广场	¥423起	4.8	共483条评论
瑷度公寓(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥550起	4.9	共1372条评论
奥利加尔精选酒店(哈尔滨中央大街店)	高档型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥985起	4.7	共258条评论
哈尔滨嘉合商务精品酒店(冰雪大世界龙川路地铁站店)	舒适型	近龙川路地铁站 · 冰雪大世界/太阳岛	¥887起	4.9	共128条评论
碧海娇龙商务宾馆(哈尔滨中央大街店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥924起	4.8	共285条评论
哈尔滨中央大街旅悦精品酒店(圣索菲亚教堂店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥596起	4.8	共831条评论
哈尔滨中央大街哈布斯堡酒店(索菲亚教堂店)	豪华型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥3037起	4.9	共10520条评论
南郡美宿(南骏豪庭哈飞工业店)	经济型	近黑龙江东方学院 · 平房区政府	¥162起	4.9	共38条评论
哈尔滨中央大街华特酒店(索菲亚教堂店)	豪华型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2366起	4.8	共2939条评论
哈尔滨君逸酒店(中央大街索菲亚教堂店)	豪华型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2142起	4.9	共3685条评论
哈尔滨柏拉图酒店(西大直街和兴路地铁站店)	舒适型	近学府路地铁站 · 江南大学城	¥429起	4.9	共944条评论
丽呈東谷酒店(哈尔滨中央大街店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1642起	4.9	共2537条评论
哈尔滨敖麓谷雅AOLUGUYA酒店	豪华型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥1935起	4.9	共2282条评论
哈尔滨颐春商务酒店	舒适型	近哈尔滨市双城区人民政府 · 双城	¥142起	4.7	共378条评论
禧龙宾馆(哈尔滨中央大街店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥279起	4.5	共87条评论
