,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
309,如家商旅酒店(哈尔滨中央大街索菲亚教堂店),舒适型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1029起,4.9,共930条评论,¥1029
310,和颐酒店(哈尔滨民航大厦省政府店),高档型,近省政府地铁站 · 龙塔/会展中心,¥689起,4.9,共504条评论,¥689
311,柏博酒店(哈尔滨中央大街索菲亚教堂店),高档型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2009起,4.9,共7625条评论,¥2009
312,瑞诚宾馆(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥62起,4.8,共24条评论,¥62
313,桔子水晶哈尔滨群力酒店,高档型,近群力大道 · 群力新区,¥999起,4.9,共61条评论,¥999
314,好睡眠智能酒店(中央大街儿童医院店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥684起,4.3,共85条评论,¥684
315,如家商旅酒店(哈尔滨西站学府路地铁站凯德广场店),舒适型,近学府路地铁站 · 江南大学城,¥479起,4.7,共447条评论,¥479
316,哈尔滨星驰旅馆,,近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔,¥80起,4.8,共17条评论,¥80
317,春天连锁宾馆(哈尔滨和兴地铁站师大夜市店),经济型,近哈尔滨师大夜市 · 江南大学城,¥253起,4.8,共1027条评论,¥253
318,星程酒店(哈尔滨中央大街索菲亚教堂店),舒适型,近圣索菲亚教堂 · 道外巴洛克,¥785起,4.9,共469条评论,¥785
319,宜尚快捷宾馆(哈尔滨火车站机场大巴店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥171起,4.8,共23条评论,¥171
320,百祥假日酒店(哈尔滨中央大街店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥754起,4.8,共821条评论,¥754
321,哈尔滨会展中心农垦亚朵酒店,高档型,近珠江路地铁站 · 龙塔/会展中心,¥646起,4.9,共1892条评论,¥646
322,曼哈顿公寓(哈尔滨索菲亚教堂店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥553起,4.5,共92条评论,¥553
323,桔子水晶哈尔滨会展中心轩辕路酒店,高档型,近会展中心地铁站 · 龙塔/会展中心,¥760起,4.9,共1254条评论,¥760
324,哈尔滨阳光假日酒店,经济型,近呼兰第一中学 · 呼兰站,¥358起,4.7,共71条评论,¥358
325,夏果高端民宿(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥460起,4.7,共52条评论,¥460
326,哈尔滨枫叶小镇温泉度假村,豪华型,近枫叶小镇奥特莱斯 · 冰雪大世界/太阳岛,¥1053起,4.9,共835条评论,¥1053
327,ZAN·酒店(哈尔滨松北冰雪大世界店),高档型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥1015起,4.9,共1225条评论,¥1015
328,7天酒店(哈尔滨中央大街民安街店),经济型,近新阳路 · 江南大学城,¥387起,4.8,共242条评论,¥387
329,民航空港宾馆(哈尔滨国际候机厅店),舒适型,近先富小学校 · 太平国际机场地区,¥496起,4.8,共589条评论,¥496
330,哈尔滨万达文华酒店,豪华型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥1849起,4.9,共3144条评论,¥1849
331,雅朵精品酒店(哈尔滨中华巴洛克店),舒适型,近中华巴洛克风情街 · 道外巴洛克,¥436起,4.8,共380条评论,¥436
332,美豪丽致酒店(哈尔滨融创乐园店),高档型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥437起,4.6,共546条评论,¥437
333,米兰精品酒店(哈尔滨火车站店),舒适型,近新阳路 · 江南大学城,¥493起,4.8,共1288条评论,¥493
334,哈尔滨博物馆火车站亚朵酒店,高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥845起,4.9,共1771条评论,¥845
335,悦澜宾馆(哈尔滨医大一院店),经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥400起,4.6,共70条评论,¥400
336,颐居宾馆(学府路医大二院店),经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥328起,4.8,共198条评论,¥328
337,哈尔滨佳益旅馆,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥88起,4.6,共5条评论,¥88
338,哈尔滨舒安公寓(哈西商厦店),经济型,近黑龙江大学 · 江南大学城,¥141起,4.8,共47条评论,¥141
339,季枫国际酒店(哈尔滨中央大街圣索菲亚教堂店),舒适型,近兆麟公园 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1105起,4.7,共29条评论,¥1105
340,琴与炉假日酒店(哈尔滨道外公路客运站透笼商厦店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥283起,4.9,共1486条评论,¥283
341,藝霏酒店(哈尔滨工业大学店),舒适型,近哈尔滨工业大学 · 江南大学城,¥521起,4.9,共786条评论,¥521
342,香格丽尔酒店(哈尔滨中央大街索菲亚大教堂店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1392起,4.9,共1294条评论,¥1392
343,哈尔滨鑫林宾馆(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥326起,4.4,共102条评论,¥326
344,拾柒间民宿(索菲亚教堂中央大街店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥975起,4.7,共22条评论,¥975
345,如家驿居酒店(哈尔滨中央大街索菲亚教堂火车站北出口店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥529起,4.8,共869条评论,¥529
346,哈尔滨鹤岗宾馆,经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥203起,4.9,共169条评论,¥203
347,汉庭优佳酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥539起,4.9,共509条评论,¥539
348,哈尔滨向日葵酒店(中央大街索菲亚教堂店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥545起,4.7,共384条评论,¥545
349,澜途国际公寓,经济型,近哈尔滨西站 · 哈西万达广场,¥243起,4.8,共77条评论,¥243
350,望岳轻呈酒店(哈西高铁站店),舒适型,近哈尔滨西站 · 哈西万达广场,¥726起,4.9,共666条评论,¥726
351,喜洋洋快捷宾馆(哈尔滨工大店),,近哈尔滨工业大学 · 江南大学城,¥162起,4.8,共62条评论,¥162
352,哈尔滨中央大街亚朵轻居酒店,高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1387起,4.9,共1171条评论,¥1387
353,恒河春天假日酒店(道外中华巴洛克店),经济型,近哈尔滨文化公园 · 道外巴洛克,¥286起,4.6,共191条评论,¥286
354,清风雅居公寓(冰雪大世界店),经济型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥320起,4.7,共18条评论,¥320
355,哈尔滨伊甸园宾馆,经济型,近731部队罪证遗址 · 平房区政府,¥182起,4.8,共175条评论,¥182
356,桔子水晶哈尔滨中央大街卓展中心酒店,高档型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥1032起,4.9,共1050条评论,¥1032
357,哈尔滨中央大街大公馆1903酒店(索菲亚教堂店),豪华型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2510起,4.9,共5096条评论,¥2510
358,哈尔滨和兴路林大美居酒店,高档型,近东北林业大学 · 江南大学城,¥815起,4.9,共393条评论,¥815
359,密斯万象连锁酒店(哈尔滨哈西万达广场西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥312起,4.7,共355条评论,¥312
360,慕思健康睡眠酒店(中央大街冰雪大世界店),高档型,近哈尔滨冰雪乐园 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1650起,4.8,共198条评论,¥1650
361,锦江都城酒店(哈尔滨国际会展中心店),高档型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥571起,4.9,共925条评论,¥571
362,安悦酒店(哈尔滨高铁西站店),高档型,近哈尔滨西站 · 哈西万达广场,¥758起,4.7,共60条评论,¥758
363,蓝天假日宾馆(哈尔滨机场店),舒适型,近先富小学校 · 太平国际机场地区,¥258起,4.9,共2872条评论,¥258
364,哈尔滨会展中心红旗大街亚朵酒店,高档型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥880起,4.9,共1697条评论,¥880
365,坤元漫居酒店(哈尔滨哈西万达广场西客站店),经济型,近哈西万达广场 · 哈西万达广场,¥481起,4.8,共242条评论,¥481
366,阳光酒店(果戈里医大一院店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥694起,4.8,共30条评论,¥694
367,汉庭酒店(哈尔滨中央大街火车站北广场店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥778起,4.8,共843条评论,¥778
368,汉庭酒店(哈尔滨平房新疆大街店),经济型,近渤海路地铁站 · 平房区政府,¥470起,4.9,共225条评论,¥470
369,驿居酒店(哈尔滨江北大学城店),经济型,近江北大学城地铁站 · 江北大学城,¥334起,4.8,共419条评论,¥334
370,鑫彩宾馆(哈尔滨地铁站西大直街店),经济型,近哈工大地铁站 · 江南大学城,¥230起,4.3,共141条评论,¥230
371,哈尔滨金域蓝爵商务休闲宾馆,经济型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥294起,4.6,共87条评论,¥294
372,春天精品酒店(哈尔滨红旗大街店),舒适型,近珠江路地铁站 · 龙塔/会展中心,¥365起,4.8,共706条评论,¥365
373,龙跃宾馆(哈尔滨哈西万达广场高铁站店),经济型,近哈尔滨西站 · 哈西万达广场,¥102起,4.9,共628条评论,¥102
374,哈尔滨松北融创皇冠假日酒店,豪华型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥897起,4.9,共2065条评论,¥897
375,奥莱酒店(哈尔滨西站哈西万达店),经济型,近哈尔滨西站 · 哈西万达广场,¥603起,4.9,共423条评论,¥603
376,致臻美宿公寓(群力远大购物中心体育公园地铁站店),经济型,近远大购物中心(群力店) · 群力新区,¥230起,4.7,共70条评论,¥230
377,東谷靑阁酒店(哈尔滨火车站店),高档型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥796起,4.8,共2820条评论,¥796
378,麗枫酒店(哈尔滨哈西火车站店),舒适型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥567起,4.8,共503条评论,¥567
379,维也纳酒店(哈尔滨哈西高铁万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥609起,4.9,共631条评论,¥609
380,哈尔滨行者咖啡酒店,舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥404起,4.8,共193条评论,¥404
381,梵丽民宿(哈西万达广场店),,近哈西万达广场 · 哈西万达广场,¥435起,4.9,共28条评论,¥435
382,七彩假日宾馆(哈尔滨东北林业大学店),经济型,近东北林业大学 · 江南大学城,¥143起,4.8,共85条评论,¥143
383,哈尔滨慕岸快捷宾馆,舒适型,近黑龙江职业学院 · 双城,¥89起,4.9,共382条评论,¥89
384,百悦年华酒店(哈尔滨太平国际机场店),舒适型,近太平镇人民政府 · 太平国际机场地区,¥231起,4.9,共3233条评论,¥231
385,喆啡酒店(哈尔滨中央大街店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1043起,4.8,共1419条评论,¥1043
386,哈尔滨星宇如枫酒店(省政府店),舒适型,近省政府地铁站 · 龙塔/会展中心,¥533起,4.9,共15条评论,¥533
387,桔子水晶哈尔滨火车站医大一院酒店,高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥775起,4.9,共1073条评论,¥775
388,泊尘酒店(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥698起,4.9,共517条评论,¥698
389,华利尔商务酒店(哈尔滨桦树街地铁站店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥386起,4.9,共464条评论,¥386
390,一克拉酒店(融创乐园太阳岛店),经济型,近万达滑雪场 · 冰雪大世界/太阳岛,¥357起,4.8,共213条评论,¥357
391,景尚酒店(哈西高铁站万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥456起,4.5,共69条评论,¥456
392,如家精选酒店(哈尔滨林业大学文昌街店),舒适型,近黑龙江中医药大学附属第一医院 · 江南大学城,¥528起,4.9,共505条评论,¥528
393,鸿顺宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥233起,4.9,共3102条评论,¥233
394,兰欧酒店(哈尔滨学院路店),舒适型,近黑龙江工商学院 · 江北大学城,¥427起,4.8,共368条评论,¥427
395,全季酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥699起,4.8,共369条评论,¥699
396,汉庭酒店(哈尔滨中央大街步行街店),经济型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥829起,4.9,共141条评论,¥829
397,哈尔滨家韵宾馆,经济型,近先富小学校 · 太平国际机场地区,¥159起,4.9,共48条评论,¥159
398,雲尚精选酒店(哈西万达广场店高铁站店),经济型,近哈尔滨西站 · 哈西万达广场,¥489起,4.8,共264条评论,¥489
399,特尔曼电竞酒店,经济型,近江北大学城地铁站 · 江北大学城,¥245起,4.7,共13条评论,¥245
400,哈尔滨佰易连锁酒店,经济型,近龙川路地铁站 · 冰雪大世界/太阳岛,¥266起,4.7,共128条评论,¥266
401,爱客家公寓(哈西万达店),,近哈西万达广场 · 哈西万达广场,¥283起,4.5,共7条评论,¥283
402,瑞居酒店(哈尔滨君康店),舒适型,近群力大道 · 群力新区,¥216起,4.8,共127条评论,¥216
403,哈尔滨雅客莱酒店(果戈里大街店),舒适型,近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥564起,4.9,共332条评论,¥564
404,宜必思酒店(哈尔滨师范大学店),舒适型,近东北林业大学 · 江南大学城,¥449起,4.8,共317条评论,¥449
405,宜必思酒店(哈尔滨中央大街火车站店),舒适型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥549起,4.8,共706条评论,¥549
406,汉庭酒店(哈尔滨会展中心长江路店),经济型,近龙塔 · 龙塔/会展中心,¥429起,4.8,共253条评论,¥429
407,一米阳光民宿公寓(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥433起,4.9,共92条评论,¥433
408,天燕假日宾馆(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥343起,4.7,共203条评论,¥343
409,全季酒店(哈尔滨文昌街林业大学店),舒适型,近黑龙江中医药大学附属第一医院 · 江南大学城,¥674起,4.8,共538条评论,¥674
410,俪莎宾馆(哈尔滨火车南广场店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥478起,4.7,共9条评论,¥478
411,麗枫酒店(哈尔滨果戈里大街秋林广场店),舒适型,近工人文化宫地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥666起,4.8,共902条评论,¥666
412,龙港宾馆(哈尔滨太平国际机场店),经济型,近空港一路 · 太平国际机场地区,¥154起,4.6,共146条评论,¥154
413,斑马观影咖啡宾馆,经济型,近哈尔滨工业大学(二校区) · 龙塔/会展中心,¥243起,4.6,共14条评论,¥243
414,Hi  Loft城市民宿,经济型,近中华巴洛克风情街 · 道外巴洛克,¥582起,4.8,共28条评论,¥582
415,哈尔滨水丽汇宾馆(中华巴洛克店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥540起,4.6,共15条评论,¥540
416,极境智慧电竞酒店(哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥606起,4.9,共105条评论,¥606
417,袋鼠优品宾馆(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥374起,4.7,共363条评论,¥374
418,星呈酒店(哈尔滨群力银泰城购物中心店),舒适型,近群力大道 · 群力新区,¥640起,4.9,共60条评论,¥640
419,棠枫艺术酒店(哈尔滨江畔店),舒适型,近中华巴洛克风情街 · 道外巴洛克,¥455起,4.5,共272条评论,¥455
420,雅居公寓,经济型,近哈尔滨文化公园 · 道外巴洛克,¥408起,4.9,共18条评论,¥408
421,哈尔滨铂豪万嘉假日酒店,舒适型,近呼兰第一中学 · 呼兰站,¥458起,4.9,共1122条评论,¥458
422,美致电竞智慧酒店(哈尔滨松北融创乐园店),舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥663起,4.7,共49条评论,¥663
423,锦江都城酒店(哈尔滨哈西高铁站万达广场店),高档型,近哈尔滨西站 · 哈西万达广场,¥748起,4.9,共3173条评论,¥748
424,华谊东方酒店(哈尔滨中央大街地铁站爱建店),舒适型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥806起,4.9,共4967条评论,¥806
425,金爵精品酒店(哈尔滨西站万达广场店),高档型,近哈尔滨西站 · 哈西万达广场,¥771起,4.9,共2204条评论,¥771
426,美致电竞智慧酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥602起,4.9,共82条评论,¥602
427,炫·电竞酒店(哈尔滨哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥513起,4.4,共94条评论,¥513
428,麗枫酒店(哈尔滨宣化街南岗区政府店),舒适型,近哈尔滨体育学院 · 龙塔/会展中心,¥463起,4.8,共704条评论,¥463
429,汉庭酒店(哈尔滨公路大桥爱建店),经济型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥570起,4.8,共308条评论,¥570
430,拾光记忆民宿(哈尔滨西站哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥458起,4.7,共30条评论,¥458
431,哈尔滨鑫丰商务宾馆(双城区政府店),经济型,近哈尔滨市双城区人民政府 · 双城,¥185起,4.9,共144条评论,¥185
432,汉庭酒店(哈尔滨三大动力乐松广场店),经济型,近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区,¥525起,4.9,共411条评论,¥525
433,哈尔滨金来招待所,,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥47起,4.9,共51条评论,¥47
434,哈尔滨君廷商务宾馆,舒适型,近省医院地铁站 · 龙塔/会展中心,¥387起,4.6,共64条评论,¥387
435,哈尔滨世界欢乐城维景国际大酒店,豪华型,近江北大学城地铁站 · 江北大学城,¥461起,4.7,共609条评论,¥461
436,悦界电竞酒店(哈尔滨哈西万达广场高铁站店),经济型,近哈西万达广场 · 哈西万达广场,¥462起,4.9,共295条评论,¥462
437,勃莱梅酒店(哈尔滨中央大街店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥864起,4.8,共822条评论,¥864
438,哈尔滨群力远大冬日假期酒店,高档型,近远大购物中心(群力店) · 群力新区,¥815起,4.8,共547条评论,¥815
439,紫悦東方养生沐浴宾馆(哈尔滨哈西万达高铁站店),经济型,近哈西万达广场 · 哈西万达广场,¥408起,4.8,共16条评论,¥408
440,暖宿民宿(中华巴洛克店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥815起,4.9,共25条评论,¥815
441,哈尔滨斯堡莱登酒店(会展中心店),豪华型,近珠江路地铁站 · 龙塔/会展中心,¥589起,4.7,共313条评论,¥589
442,西雅公寓式酒店民宿(滨江街分店),,近哈尔滨文化公园 · 道外巴洛克,¥291起,4.7,共23条评论,¥291
443,星程酒店(哈尔滨西站西广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥694起,4.9,共507条评论,¥694
444,如家商旅酒店(哈尔滨会展中心工大二学区嵩山路店),舒适型,近哈尔滨工业大学(二校区) · 龙塔/会展中心,¥508起,4.9,共414条评论,¥508
445,双和盛泰商务宾馆(哈西万达广场高铁站店),经济型,近哈尔滨西站 · 哈西万达广场,¥345起,4.8,共242条评论,¥345
446,三人行民宿,,近南直路 · 龙塔/会展中心,¥386起,4.9,共27条评论,¥386
447,卓亚假日酒店(学院路江北大学城店),经济型,近江北大学城地铁站 · 江北大学城,¥354起,4.6,共23条评论,¥354
448,哈尔滨悦枫酒店(中央大街地铁站店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1044起,4.9,共4003条评论,¥1044
449,驿居酒店(哈尔滨中央大街店),舒适型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥789起,4.8,共126条评论,¥789
450,公爵酒店(哈尔滨中央大街店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥824起,4.8,共553条评论,¥824
451,鸿运宾馆(哈尔滨太平国际机场店),经济型,近空港一路 · 太平国际机场地区,¥274起,4.9,共254条评论,¥274
452,哈尔滨莱斯商务酒店,舒适型,近哈尔滨二四二医院 · 平房区政府,¥503起,4.7,共66条评论,¥503
453,哈尔滨飞达宾馆,经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥197起,4.5,共136条评论,¥197
454,洪源公寓(黑大哈尔滨学院店),经济型,近黑龙江大学 · 江南大学城,¥104起,4.9,共97条评论,¥104
455,品尚宾馆(哈尔滨太平国际机场店),舒适型,近先富小学校 · 太平国际机场地区,¥433起,4.8,共282条评论,¥433
456,城市酒店(哈尔滨西站万达广场店),舒适型,近哈西万达广场 · 哈西万达广场,¥442起,4.8,共468条评论,¥442
457,夏日炎炎电竞公寓(哈尔滨哈西万达广场高铁站店),,近哈西大街地铁站 · 哈西万达广场,¥452起,4.9,共198条评论,¥452
458,春航宾馆(哈尔滨机场店),经济型,近先富小学校 · 太平国际机场地区,¥268起,4.7,共661条评论,¥268
459,丽呈東谷酒店(哈尔滨冰雪大世界店),高档型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥605起,4.8,共941条评论,¥605
460,暖幢·艺术城宿(群力松溪公园店),经济型,近群力大道 · 群力新区,¥408起,4.7,共45条评论,¥408
461,如家酒店·neo(哈尔滨中央大街上游街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥739起,4.7,共741条评论,¥739
462,哈尔滨中央大街元汇智选酒店(哈尔滨站店),舒适型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥836起,4.9,共230条评论,¥836
463,悦鑫高颜值民宿(中央大街索菲亚大教堂店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥642起,4.8,共250条评论,¥642
464,维也纳3好酒店(哈尔滨师范大学店),舒适型,近学府路地铁站 · 江南大学城,¥523起,4.8,共580条评论,¥523
465,喆啡酒店(哈尔滨哈西高铁站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥370起,4.9,共2294条评论,¥370
466,如家商旅酒店(哈尔滨西站理工大学店),舒适型,近黑龙江大学 · 江南大学城,¥394起,4.9,共639条评论,¥394
467,哈尔滨富鑫春洗浴宾馆,经济型,近731部队罪证遗址 · 平房区政府,¥205起,4.8,共68条评论,¥205
468,哈尔滨中央大街际丰假日酒店(防洪纪念塔店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1152起,4.7,共1790条评论,¥1152
469,全季酒店(哈尔滨景阳街中华巴洛克店),舒适型,近中华巴洛克风情街 · 道外巴洛克,¥760起,4.6,共289条评论,¥760
470,莫泰酒店(哈尔滨中央大街索菲亚教堂透笼商厦店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥560起,4.7,共247条评论,¥560
471,丽呈東谷酒店(哈尔滨西站万达广场店),高档型,近哈尔滨西站 · 哈西万达广场,¥1170起,4.9,共4103条评论,¥1170
472,如家精选酒店(哈尔滨中央大街新阳路机场巴士站店),舒适型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥878起,4.9,共170条评论,¥878
473,隆逸大酒店(哈尔滨承德广场巴洛克店),舒适型,近中华巴洛克风情街 · 道外巴洛克,¥611起,4.6,共455条评论,¥611
474,哈尔滨欧罗巴酒店(中央大街索菲亚店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥925起,4.8,共1523条评论,¥925
475,依依美宿(哈尔滨中央大街店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥825起,4.8,共375条评论,¥825
476,哈尔滨金江雅致酒店(中央大街防洪纪念塔店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥541起,4.7,共738条评论,¥541
477,凯澜酒店(哈尔滨中央大街防洪纪念塔店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥781起,4.8,共837条评论,¥781
478,哈尔滨中央大街御枫·蘭悦酒店(爱建卓展店),舒适型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥1426起,4.9,共1073条评论,¥1426
479,哈尔滨中央大街索菲亚美居酒店,高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1889起,4.9,共3000条评论,¥1889
480,如家商旅酒店(哈尔滨松北冰雪大世界店),舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥646起,4.9,共323条评论,¥646
481,金子公寓(哈尔滨西站城乡路地铁站店),经济型,近哈尔滨西站 · 哈西万达广场,¥243起,4.9,共63条评论,¥243
482,如家驿居酒店(哈尔滨林业大学文昌街店),舒适型,近黑龙江中医药大学 · 江南大学城,¥606起,4.9,共370条评论,¥606
483,哈尔滨万枫酒店(中央大街火车站店),高档型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥1012起,4.9,共702条评论,¥1012
484,宜必思酒店(哈尔滨中央大街机场巴士站酒店),舒适型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥869起,4.8,共619条评论,¥869
485,马迭尔M+酒店(哈尔滨中央大街地铁站店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1447起,4.8,共1230条评论,¥1447
486,丽致酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥752起,4.9,共637条评论,¥752
487,华宿轻居精品酒店(哈尔滨火车站店),舒适型,近新阳路 · 江南大学城,¥568起,4.8,共626条评论,¥568
488,逸居公寓(哈尔滨冰雪大世界融创乐园店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥339起,4.9,共68条评论,¥339
489,赛家酒店(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥576起,4.9,共244条评论,¥576
490,如家精选酒店(哈尔滨中央大街店),舒适型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥827起,4.8,共420条评论,¥827
491,四季宾酒店(哈尔滨西站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥486起,4.9,共771条评论,¥486
492,潮漫酒店(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1142起,4.8,共811条评论,¥1142
493,哈尔滨凯瑞公寓(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥526起,4.6,共255条评论,¥526
494,如家精选酒店(哈尔滨三大动力哈锅店),舒适型,近哈尔滨市第五医院 · 乐松广场/东北林业大学/香坊商业区,¥570起,4.8,共365条评论,¥570
495,青丘酒店(哈尔滨火车站医大一院店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥1017起,4.8,共1020条评论,¥1017
496,哈尔滨极锋电竞公寓,经济型,近哈西万达广场 · 哈西万达广场,¥376起,4.8,共107条评论,¥376
497,中麦商务酒店(哈尔滨中央大街火车站店),经济型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥427起,4.3,共284条评论,¥427
498,哈尔滨汇智美爵酒店(哈西高铁站店),豪华型,近工农大街地铁站 · 哈西万达广场,¥1409起,4.9,共522条评论,¥1409
