城市	酒店名称	酒店类型	地址	报价	酒店排名	综合评分	点评数	最热评价
哈尔滨	馨苑宾馆(哈尔滨火车站店)		哈尔滨南岗区上方街38号	暂无报价	哈尔滨同档次酒店好评第1707（共9628家）	4.0	54	住着很舒服,位置很舒服,附近吃饭。很好,我们是续住的
哈尔滨	汇东时尚宾馆(哈尔滨火车站店)		哈尔滨南岗区下夹树街17号	暂无报价		暂无评分	4条点评	屋子很暖和,这价钱还要啥自行车。离哈尔滨站很近,大姨很热情
哈尔滨	宝迪连锁酒店(哈尔滨学院路店)		哈尔滨呼兰区利民开发区学院路三道街21号	暂无报价	哈尔滨同档次酒店好评第1371（共9628家）	4.3	196	环境挺好的,睡得还可以。我觉得他家最好,经济又实惠
哈尔滨	动力宾馆(哈尔滨乐松店)		哈尔滨香坊区体育头道街5号	暂无报价	哈尔滨同档次酒店好评第2070（共10318家）	3.8		
哈尔滨	宝迪酒店(哈尔滨会展中心店)		哈尔滨香坊区珠江路078号	暂无报价	哈尔滨同档次酒店好评第785（共9596家）	4.6	129	这家酒店是我本次出行住过的最好的酒店。服务人员很热情,乐于提供各种帮助
哈尔滨	奥利加尔精选酒店(哈尔滨中央大街店)	高档型	哈尔滨道里区兆麟街13号	暂无报价	哈尔滨高档型酒店好评第91（共138家）	4.4	720	总体还是不错的,性价比高。酒店位置很好,离索菲亚教堂
哈尔滨	五常相思雪谷客栈		五常五常雪谷景区东升林场	¥ 120起	哈尔滨同档次酒店好评第1（共9755家）	5.0	62	我吃到了家的感觉,要收点钱
哈尔滨	哈尔滨金沙宾馆(工程大学店)		哈尔滨道外区南直路689号	¥ 102起	哈尔滨同档次酒店好评第1634（共10460家）	4.3	363	体验非常好,价格公道,下次还会再来的。服务态度很好
哈尔滨	雪谷新福客栈		五常山河屯林业局东升林场	暂无报价	哈尔滨同档次酒店好评第111（共10619家）	5.0	739	到雪谷玩住在这里特别好。性价比很高的屋子
哈尔滨	哈尔滨大庆宾馆	三星级	哈尔滨南岗区国民街23号	暂无报价	哈尔滨三星级酒店好评第133（共175家）	4.1	90	尤其是。在这宾馆能够安稳睡一晚,总之非常棒
哈尔滨	怡意动漫主题宾馆(中央大街店)		哈尔滨道里区友谊路高谊街通江胡同17号	暂无报价	哈尔滨同档次酒店好评第1793（共9628家）	3.9	40	老板人挺好,位置也很方便,离地铁不远。房间很好,舒服,老板也很好
哈尔滨	七彩假日酒店式公寓(哈尔滨服装城店)		哈尔滨南岗区服装城哈西商厦B座2002室	暂无报价	哈尔滨同档次酒店好评第1261（共9628家）	4.4	121	很不错的一次出行体验。价格优惠,而且很干净,什么都有
哈尔滨	亚布力特色农家院		尚志亚布力滑雪旅游度假区	暂无报价	哈尔滨同档次酒店好评第885（共9755家）	4.6	220	房间布置特别温馨,住着暖和舒服。房间干净,屋内特别暖和,老板服务态度好
哈尔滨	哈尔滨国煤宾馆	舒适型	哈尔滨南岗区吉林街84号	暂无报价	哈尔滨舒适型酒店好评第150（共210家）	4.2		
哈尔滨	和颐酒店(哈尔滨和平路中医药大学店)	高档型	哈尔滨香坊区和平路79号	¥ 237起	哈尔滨高档型酒店好评第38（共128家）	4.7	705	服务态度也好,早餐齐全,不错👍。酒店非常满意,因为考试给延时拉时间
哈尔滨	鑫岭宾馆(哈尔滨火车站店)		哈尔滨南岗区阿什河街66号	暂无报价	哈尔滨同档次酒店好评第1467（共9765家）	4.3	140	环境也不错,床品很干净。整体感觉还不错,床很舒适,前台很热情
哈尔滨	哈尔滨宜之家时尚公寓		哈尔滨呼兰区学院路泓林金色地标16号楼(师大旁)	暂无报价	哈尔滨同档次酒店好评第2107（共9628家）	2.8		
哈尔滨	如家华驿精选酒店(哈尔滨中央大街前进路店)	经济型	哈尔滨道里区前进路39号	暂无报价	哈尔滨经济型酒店好评第22（共137家）	4.6	282	来旅游非常推荐,马桶还是智能的。前厅部服务很好,环境不错
哈尔滨	哈尔滨大都汇主题宾馆		哈尔滨南岗区松花江街37号	暂无报价	哈尔滨同档次酒店好评第1181（共9628家）	4.4	359	服务热情,位置好离火车站十分钟路程方便。离火车站很近,对于出行的人很有安全感
哈尔滨	哈尔滨巧克力酒店(国际会展中心店)		哈尔滨香坊区南直路32号	暂无报价	哈尔滨同档次酒店好评第718（共9596家）	4.7	260	非常棒,卫生干净。真的很不错,房间很大
哈尔滨	聚缘时尚公寓(哈尔滨中央大街店)		哈尔滨道里区经纬街61号经纬360公寓B座2206	暂无报价	哈尔滨同档次酒店好评第1143（共10415家）	4.5	257	房间很不错,设施也很全。住的高楼层,风景不错,特别凉快
哈尔滨	天天宾馆(哈尔滨东北林业大学店)		哈尔滨香坊区文昌街236号	暂无报价	哈尔滨同档次酒店好评第1632（共9605家）	4.1	74	房间宽敞。酒店肃静,卫生干净,服务满意交通便利
哈尔滨	哈尔滨莱顺客栈(中央大街店)		哈尔滨道里区红专街副22号	暂无报价	哈尔滨同档次酒店好评第1798（共9628家）	3.9	38	位置特别好,店家服务态度很好。离中央大街和红砖街早市都特别近
哈尔滨	哈尔滨青苹果时尚宾馆		哈尔滨道外区太平南三道街184-7号	暂无报价	哈尔滨同档次酒店好评第1297（共9628家）	4.4	104	舒适干净,总体感觉不错
哈尔滨	美豪丽致酒店(哈尔滨融创乐园店)	高档型	哈尔滨松北区银水湾路1111-5号	暂无报价	哈尔滨高档型酒店好评第101（共138家）	4.4	609	内部设施齐全干净,很温馨。早餐很好吃,前台服务很好
哈尔滨	易居宾馆(哈尔滨中央大街地铁站店)	舒适型	哈尔滨道里区抚顺街58号	暂无报价	哈尔滨舒适型酒店好评第96（共170家）	4.5	295	总体来说性价比还是高的。服务态度很好,设施稍微老旧
哈尔滨	哈尔滨火车站果戈里大街漫心酒店	高档型	哈尔滨南岗区果戈里大街238号	暂无报价	哈尔滨高档型酒店好评第4（共175家）	4.9	153	一进大厅就感觉到热情的服务。一进大厅就感觉到热情的服务
哈尔滨	乌托邦酒店式公寓(哈尔滨冰雪大世界店)		哈尔滨道里区爱建路47号爱琴花园C2栋103室(爱琴花园2号门进小区)	¥ 304起	哈尔滨同档次酒店好评第270（共9490家）	4.7	410	干净卫生,服务态度很好,特别满意。房间设施齐全,高层夜景很美
哈尔滨	华驿酒店(哈尔滨凯德广场埃德蒙顿路机场巴士站店)	经济型	哈尔滨道里区埃德蒙顿路29号	¥ 241起	哈尔滨经济型酒店好评第26（共125家）	4.6	247	客房干净,热水充足,暖气特别热。酒店总体很好,前台的工作人员服务也热情
哈尔滨	哈尔滨博豪时尚精品宾馆(中央大街店)		哈尔滨道里区一面街与透笼街街口路北	暂无报价	哈尔滨同档次酒店好评第1360（共13530家）	4.0	78	位置很好房间干净人都很好
哈尔滨	哈尔滨金安快捷宾馆		哈尔滨南岗区人和街1号	暂无报价	哈尔滨同档次酒店好评第1518（共9628家）	4.2		
哈尔滨	爱情公寓(哈尔滨冰雪大世界店)		哈尔滨道里区爱建路爱琴花园C3栋102室	暂无报价	哈尔滨同档次酒店好评第241（共9606家）	4.7	484	各方面都不错,入住体验非常好。这里的环境很舒适,安静,服务很热情
哈尔滨	哈尔滨港城酒店(工程大学地铁站店)	舒适型	哈尔滨南岗区南通大街149号	暂无报价	哈尔滨舒适型酒店好评第115（共175家）	4.4	204	阳光充足,被套床单都很干净没有味道。环境挺好,床单被套干净洁白
哈尔滨	雪谷艳玲家庭旅馆		五常山河屯林业局雪谷景区	¥ 130起	哈尔滨同档次酒店好评第94（共10619家）	5.0	200	老板娘人很好,做饭也好吃。老板店门口拍照很好看
哈尔滨	禧龙宾馆(哈尔滨海城店)	经济型	哈尔滨南岗区文景街129号	¥ 161起	哈尔滨经济型酒店好评第7（共119家）	4.7	157	总体来说还行
哈尔滨	哈尔滨工程大学国际交流中心		哈尔滨南岗区红旗大街与大有坊街交口校门南侧200米	暂无报价	哈尔滨同档次酒店好评第63（共9628家）	4.9		
哈尔滨	哈尔滨浪漫西城酒店	舒适型	哈尔滨南岗区哈西北兴街与和谐大道交叉	¥ 269起	哈尔滨舒适型酒店好评第101（共175家）	4.5	574	总的来说还不错,各方面都还是令人满意的。第一次入住这家酒店,整体体验很不错
哈尔滨	新楠天精品酒店(哈尔滨中央大街店)		哈尔滨道里区东安街8号	暂无报价	哈尔滨同档次酒店好评第1832（共9628家）	3.8	124	价格不贵,环境可以,性价比超高。交通方便,干净卫生,性价比高,采光充足
哈尔滨	广来商务酒店(哈尔滨会展店)		哈尔滨道外区先锋路154号	暂无报价	哈尔滨同档次酒店好评第1751（共10546家）	4.3		
哈尔滨	桃源假日旅行酒店(哈尔滨中央大街店)	舒适型	哈尔滨道里区抚顺街28号	暂无报价	哈尔滨舒适型酒店好评第104（共175家）	4.5	533	感觉不错,大床房性价比很高。酒店设施挺新,房间整洁,服务大姐很细心
哈尔滨	如家酒店(哈尔滨会展中心衡山路万达广场店)	经济型	哈尔滨南岗区衡山路20号	暂无报价	哈尔滨经济型酒店好评第62（共137家）	4.5	267	房间很暖和,电视很大。很不错很舒适,方便快捷,位置很好
哈尔滨	亚布力春雪居山庄	舒适型	尚志亚布力镇青山村雪域路1号	暂无报价	哈尔滨舒适型酒店好评第124（共175家）	4.3	51	在这边玩了几天住的最舒适的了。老板服务很好很热情
哈尔滨	莫泰酒店(哈尔滨会展中心公滨路地铁站店)	经济型	哈尔滨香坊区公滨路395号	暂无报价	哈尔滨经济型酒店好评第52（共137家）	4.6	137	这个酒店最大的优势离地铁站非常近
哈尔滨	桔子酒店(哈尔滨火车站中央大街店)	舒适型	哈尔滨道里区地段街60号	暂无报价	哈尔滨舒适型酒店好评第17（共175家）	4.8	11	酒店位置不错,性价比高。前台业务熟练高效,有求必应
哈尔滨	哈尔滨龙达花园宾馆		哈尔滨南岗区木介街36号	暂无报价	哈尔滨同档次酒店好评第1556（共9628家）	4.2		
哈尔滨	如家酒店.neo(哈尔滨中央大街步行街店)	经济型	哈尔滨道里区西十三道街53号	暂无报价	哈尔滨经济型酒店好评第27（共137家）	4.6	688	前台很好。前台小姐姐们人都很好,有事都能解决
哈尔滨	格林豪泰(哈尔滨中央大街店)	经济型	哈尔滨道里区大安街54号	¥ 799起	哈尔滨经济型酒店好评第123（共137家）	3.9	140	装修很新,前台服务很好。服务非常好位置也很好去哪都很方便
哈尔滨	金泰宾馆(哈尔滨太平国际机场店)		哈尔滨道里区太平镇先富村大张家168号	暂无报价	哈尔滨同档次酒店好评第734（共9628家）	4.6		
哈尔滨	速喜宾馆(哈尔滨玛克威店)		哈尔滨道外区仁里街154号	暂无报价	哈尔滨同档次酒店好评第1324（共9559家）	4.3	170	酒店太棒了,超过了我的想象。很满意
哈尔滨	春天连锁宾馆(哈尔滨火车站省博物馆店)	经济型	哈尔滨南岗区国民街69号	¥ 141起	哈尔滨经济型酒店好评第12（共137家）	4.7	400	位置特别好就在博物馆站3号出口边上。两样的粥、小咸菜若干。总之
哈尔滨	万达酒店式公寓(哈尔滨服装城店)		哈尔滨南岗区中兴大道99号哈西商厦A座1302室	¥ 130起	哈尔滨同档次酒店好评第2098（共10318家）	3.7	38	宽敞干净,交通便利,房东人很好
哈尔滨	北航宾馆(哈尔滨太平国际机场店)		哈尔滨道里区太平国际机场服务三区	暂无报价	哈尔滨同档次酒店好评第274（共9490家）	4.7	300	接送机服务很方便,距离机场也很近。很舒适且高性价比的房间
哈尔滨	千禧酒店公寓(哈尔滨安发桥街店)		哈尔滨道里区东七道街20号99号公馆1324	暂无报价	哈尔滨同档次酒店好评第1594（共9628家）	4.1		
哈尔滨	春天连锁宾馆(工人文化宫火车站店)	经济型	哈尔滨南岗区永和街51号	暂无报价	哈尔滨经济型酒店好评第71（共124家）	4.4	347	服务态度很好,位置好找,出门就是地铁站。公交地铁都很方便主要是房间非常感觉
哈尔滨	哈尔滨佳顺商务酒店		哈尔滨南岗区宣化街471号	暂无报价	哈尔滨同档次酒店好评第2074（共10380家）	3.8	48	床品也很干净整洁。总体还不错,预定的大床房订没了
哈尔滨	哈尔滨蓝宝石假日宾馆		哈尔滨香坊区公滨路65号	暂无报价	哈尔滨同档次酒店好评第1844（共9628家）	3.8	126	安全,卫生,服务态度好。各方面不错
哈尔滨	哈尔滨米店青年旅舍		哈尔滨道里区买卖街105号24层02门	暂无报价	哈尔滨同档次酒店好评第217（共9628家）	4.7	356	最重点说的就是,卫生很好。米店每天都大搞卫生,米店的床非常喜欢
哈尔滨	哈尔滨福顺天天大酒店	豪华型	哈尔滨香坊区赣水路20-22号	¥ 539起	哈尔滨豪华型酒店好评第23（共25家）	4.3	104	性价比很高,前天服务也很好,支持一下。位置非常好,卫生干净
哈尔滨	天缘公寓(哈尔滨中央大街店)		哈尔滨道里区尚志大街99号公馆624室	暂无报价		暂无评分	暂无评论	地理位置好,价格实惠
哈尔滨	新航快捷宾馆(哈尔滨机场店)		哈尔滨道里区太平镇先富村双庙子屯	暂无报价	哈尔滨同档次酒店好评第166（共9606家）	4.8	122	晚班机到哈尔滨,酒店有车子接机,服务好。环境干净,宽敞
哈尔滨	哈尔滨谭格美酒店(会展中心店)	豪华型	哈尔滨南岗区湘江路135号	暂无报价	哈尔滨豪华型酒店好评第22（共25家）	4.4	403	住过好多次了,房间够大。房间大小刚好,隔音效果还不错
哈尔滨	汉庭酒店(哈尔滨工程大学地铁站店)	经济型	哈尔滨南岗区宣化街488号	暂无报价	哈尔滨经济型酒店好评第88（共134家）	4.4	141	房间干净,前台服务不错。酒店设施很好,卫生也打理得很干净
哈尔滨	哈尔滨省政府机关招待所		哈尔滨南岗区光芒街56号	¥ 82起	哈尔滨同档次酒店好评第2033（共10318家）	3.8		
哈尔滨	汉庭酒店(哈尔滨火车站机场巴士店)	经济型	哈尔滨南岗区松花江街35号	¥ 175起	哈尔滨经济型酒店好评第20（共137家）	4.6	99	房间很新,干净卫生,有暖气和空调。送了很多礼品,早餐很好吃
哈尔滨	如家酒店(哈尔滨西站万达广场金爵万象店)	经济型	哈尔滨南岗区哈尔滨大街640号金爵万象2号楼18至20层	暂无报价	哈尔滨经济型酒店好评第56（共137家）	4.5	408	房间宽敞,洗澡水很大很舒服,好评。房间很大,家庭房1.8米,1
哈尔滨	禧龙宾馆(哈尔滨西五道街店)	经济型	哈尔滨道里区西五道街41号	¥ 184起	哈尔滨经济型酒店好评第146（共157家）	3.8	240	小伙子小丫头非常热情对于本次入住。位置是真的好,出门一分钟就是中央大街
哈尔滨	哈尔滨松北香格里拉大酒店	豪华型	哈尔滨松北区松北大道1号	¥ 813起	哈尔滨豪华型酒店好评第10（共25家）	4.7	931	价格合理,味道不错。便于出行,早餐种类多,服务态度很好
哈尔滨	哈西宾馆(哈尔滨哈西万达广场哈西高铁站店)		哈尔滨南岗区哈西大街496-498号(哈西万达)	暂无报价	哈尔滨同档次酒店好评第1429（共10446家）	4.4		
哈尔滨	哈尔滨春江宾馆(中央大街店)		哈尔滨道里区经纬十道街22号	暂无报价	哈尔滨同档次酒店好评第2106（共10460家）	4.0		
哈尔滨	哈尔滨安雅旅馆		哈尔滨南岗区民益街中学胡同14号102	暂无报价	哈尔滨同档次酒店好评第2018（共9628家）	3.4		
哈尔滨	哈尔滨时尚1+1公寓		哈尔滨南岗区中兴大道162号A座2116室	暂无报价	哈尔滨同档次酒店好评第1317（共9628家）	4.4	51	性价比高,这就不错了
哈尔滨	东源商务宾馆(儿童医院店)	经济型	哈尔滨道外区友谊东路535号	¥ 189起	哈尔滨经济型酒店好评第88（共137家）	4.4	180	都挺好。非常好
哈尔滨	中麦商务酒店(哈尔滨中央大街金安购物广场店)		哈尔滨道里区西十道街27号	暂无报价	哈尔滨同档次酒店好评第74（共137家）	4.4	245	濒临哈尔滨最繁华的中央大道,出行方便。离公交车站很近
哈尔滨	如家精选酒店(哈尔滨火车站省政府店)	舒适型	哈尔滨南岗区中山路238号	¥ 227起	哈尔滨舒适型酒店好评第38（共95家）	4.6	577	门口过一个红绿灯就是地铁站,特别方便。真的很不错,接待和客房阿姨们都很好
哈尔滨	哈尔滨冰岛酒店(冰雪大世界店)	高档型	哈尔滨松北区太阳岛风景区临江街49号	暂无报价	哈尔滨高档型酒店好评第88（共138家）	4.4	39	空气很好,自然景观也好。总体感觉不错,各方面也很舒适,唯一不足
哈尔滨	美辰酒店式公寓(哈尔滨服装城店)		哈尔滨南岗区中兴大道99号哈西商厦高层公寓B座1202	暂无报价	哈尔滨同档次酒店好评第1439（共10279家）	4.3		
哈尔滨	雪谷老姜家客栈		五常山河屯林业局东升林场	¥ 79起	哈尔滨同档次酒店好评第84（共9755家）	4.9	56	老板娘也特别好,在家负责后勤工作。去了雾凇岭很主动得会带我们去玩
哈尔滨	哈尔滨瑞鑫商贸城旅馆		哈尔滨南岗区建设街15号A座	暂无报价		暂无评分	1条点评	性价比高,还很便宜,地理位置也可以
哈尔滨	合美休闲快捷宾馆(医大一院店)		哈尔滨南岗区宽城街102号	暂无报价	哈尔滨同档次酒店好评第1235（共9755家）	4.4	100	宾馆环境很好,毛巾啥的都是一次性的。就是美中不足的是电视不能投屏
哈尔滨	汉庭酒店(哈尔滨学府路店)	经济型	哈尔滨南岗区学府路学府三道街10号	暂无报价	哈尔滨经济型酒店好评第83（共119家）	4.3	221	前台服务好,热情。前台小姐姐很热心,服务很好
哈尔滨	紫竹宾馆(哈尔滨工程大学太平桥店)		哈尔滨道外区太平桥东直路95号	暂无报价	哈尔滨同档次酒店好评第2030（共9628家）	3.4		
哈尔滨	哈尔滨金域蓝爵商务休闲宾馆		哈尔滨南岗区哈尔滨大街50号哈西大街一号	暂无报价	哈尔滨同档次酒店好评第654（共9628家）	4.7	178	家有喜事,来了很多亲戚,三天十二个房间。周边商圈吃住行方便,推荐入住
哈尔滨	全季酒店(哈尔滨文昌街林业大学店)	舒适型	哈尔滨香坊区文昌街277号	暂无报价	哈尔滨舒适型酒店好评第44（共167家）	4.7	529	风格比较喜欢,简单大方。干净卫生酒店太棒了,超过了我的想象
哈尔滨	哈尔滨群力远大苹果酒店式公寓		哈尔滨道里区群力第四大道群力远大商务公寓A座A2-21门市	暂无报价	哈尔滨同档次酒店好评第256（共9628家）	4.7	210	房间和床真的很大。服务很好,住房空间宽敞
哈尔滨	哈尔滨埃迭姆俄式主题宾馆(中央大街索菲亚教堂店)	舒适型	哈尔滨道里区中央大街21号	暂无报价	哈尔滨舒适型酒店好评第132（共175家）	4.1	209	逛中央大街非常方便,因为第二天要去雪谷。房间干净整洁,闹中取静,床也睡的很舒服
哈尔滨	万笙宾馆(哈尔滨中央大街店)		哈尔滨道里区大安街66号	暂无报价	哈尔滨同档次酒店好评第1403（共9628家）	4.3	308	酒店前台服务很好。酒店地理位置很好
哈尔滨	如家酒店.neo(哈尔滨火车站果戈里医大一院店)	经济型	哈尔滨南岗区果戈里大街428号	暂无报价	哈尔滨经济型酒店好评第6（共137家）	4.8	65	房间很干净,设施完善。床垫确实有点硬,走廊隔音一般
哈尔滨	如家派柏·云酒店(哈尔滨承德广场中华巴洛克风情街店)	经济型	哈尔滨道外区大水晶街80号	暂无报价	哈尔滨经济型酒店好评第1192（共9605家）	4.4	260	街市菜场小吃摊很热闹。交通便利,屋里挺干净
哈尔滨	如家商旅酒店(哈尔滨会展中心汉水路龙塔店)	舒适型	哈尔滨南岗区汉水路162号	暂无报价	哈尔滨舒适型酒店好评第29（共137家）	4.6	136	位置很好。房间太小了,像一个隔间
哈尔滨	哈尔滨松北融创皇冠假日酒店	豪华型	哈尔滨松北区丰源街233号	¥ 484起	哈尔滨豪华型酒店好评第16（共25家）	4.5	858	服务响应很快,前台精神面貌很好。特别满意,入住的时候服务特别热情
哈尔滨	雪谷手牵手客栈		五常山河屯林业局东升林场	暂无报价	哈尔滨同档次酒店好评第76（共9596家）	4.9	317	老板娘很温柔很有耐心,老板很好玩。开客栈的人一对夫妻,人真的很好
哈尔滨	哈尔滨至美酒店	高档型	哈尔滨香坊区华山路8号	暂无报价	哈尔滨高档型酒店好评第92（共127家）	4.4		
哈尔滨	爱斯特美仑酒店(哈尔滨冰雪大世界店)	高档型	哈尔滨松北区世博路77号	暂无报价	哈尔滨高档型酒店好评第34（共138家）	4.7	500	出行都还比较便利,环境好,住的很舒服。各方面都不错👍
哈尔滨	如家酒店·neo(哈尔滨会展中心汉水路店)	经济型	哈尔滨香坊区泰山路82-8号	暂无报价	哈尔滨经济型酒店好评第49（共137家）	4.6	156	服务好房间干净整洁很好。环境不错
哈尔滨	哈尔滨哈西万达壹品宾馆哈西客站店		哈尔滨南岗区哈尔滨大街555号壹品新境B座6层	暂无报价	哈尔滨同档次酒店好评第1677（共10350家）	4.2		
哈尔滨	瑷度公寓(哈尔滨中央大街店)		哈尔滨道里区东七道街20号99公馆823室	暂无报价	哈尔滨同档次酒店好评第697（共9605家）	4.7	388	总体来说来哈尔滨的体验。酒店价格相对便宜些,哈尔滨真的很好玩
哈尔滨	哈尔滨斯凯沃商务酒店	舒适型	哈尔滨道里区通达街418号(近建国公园冰雪大世界)	暂无报价	哈尔滨舒适型酒店好评第120（共228家）	4.5	70	温暖舒适,睡得踏实,价格却实惠得多。性价比很高,还给安心的升了级
哈尔滨	瑞庭酒店(哈尔滨万达广场哈西高铁站店)		哈尔滨南岗区尤家街221号	¥ 178起	哈尔滨同档次酒店好评第57（共166家）	4.6	190	房间很舒适,干净卫生,质优价廉。很满意,前台服务态度很好
哈尔滨	哈尔滨君廷商务宾馆	舒适型	哈尔滨南岗区天顺街39号	暂无报价	哈尔滨舒适型酒店好评第97（共175家）	4.5	24	价格便宜,性价比高。下水不太好,马桶总堵
哈尔滨	哈尔滨工业大学飞泷丽呈酒店	舒适型	哈尔滨南岗区西大直街308号	暂无报价	哈尔滨舒适型酒店好评第128（共170家）	4.2	58	环境很好,卫生条件也很好。服务非常周到细致,设施完善齐全
哈尔滨	锦江之星风尚(哈尔滨秋林医大一院店)	经济型	哈尔滨南岗区东大直街183号	暂无报价	哈尔滨经济型酒店好评第74（共122家）	4.4	155	价格不贵,电视是个比较明显的缺点。屋里有暖气,很暖和
哈尔滨	金特宾馆(哈尔滨玛克威店)		哈尔滨道外区北十六道街31号	暂无报价	哈尔滨同档次酒店好评第1622（共9559家）	4.1		
哈尔滨	嘉捷酒店(哈尔滨会展中心店)		哈尔滨香坊区红旗大街31号	暂无报价	哈尔滨同档次酒店好评第14（共134家）	4.7	306	总体不错。前台小姐姐很热情,解答问题也细心
哈尔滨	雪谷富强宾馆		五常山河屯林业局东升林场	暂无报价	哈尔滨同档次酒店好评第112（共10619家）	5.0	221	房间很暖和,早餐也挺好吃的,老板非常好。房间也很干净空间也大
哈尔滨	哈尔滨群力远大优美酒店式公寓		哈尔滨道里区群力大道群力远大商务公寓一楼门市A1-11号	暂无报价	哈尔滨同档次酒店好评第1227（共9628家）	4.4		
哈尔滨	如家酒店(哈尔滨会展中心公滨路地铁站店)	经济型	哈尔滨香坊区公滨路395号	暂无报价	哈尔滨经济型酒店好评第42（共137家）	4.6	149	房间干净整洁服务很好。房间干净暖和服务态度好
哈尔滨	悦途精品酒店(哈尔滨工业大学店)		哈尔滨南岗区教化街3号	暂无报价	哈尔滨同档次酒店好评第1810（共9605家）	3.9	255	无窗,大床,洗澡,看电视,上网都挺好的。方便快捷,价格合适,性价比高
哈尔滨	雪谷丁子涵时尚家庭旅馆		五常山河屯林业局中国雪谷	¥ 888起	哈尔滨同档次酒店好评第1021（共10578家）	4.7	945	房间温暖舒服,老板人特别好。房间也挺大的,炕暖和干净
哈尔滨	亚布力华夏取舍设计师民宿	舒适型	尚志亚布力青云小镇东三街	暂无报价	哈尔滨舒适型酒店好评第4（共226家）	4.9	173	老板和管家人都很nice。环境宁静,设计感十足,服务也非常周到
哈尔滨	哈尔滨禧合宾馆(黑龙江大学服装城店)		哈尔滨南岗区中兴大道99号哈西商厦B座一楼门市	暂无报价	哈尔滨同档次酒店好评第966（共9765家）	4.6	335	住的挺好的一次还来还来。位置交通
哈尔滨	哈尔滨双龙快捷旅馆		哈尔滨道里区安国街233号	暂无报价	哈尔滨同档次酒店好评第1206（共10350家）	4.5	20	环境很好,因为人不是很多。非常好老板娘人好喜欢
哈尔滨	哈尔滨世海哲人快捷酒店		哈尔滨道外区大新街148号	暂无报价	哈尔滨同档次酒店好评第1557（共9605家）	4.2	117	缺点是:楼下停车不是很方便。非常不错的环境啊
哈尔滨	汉庭酒店(哈尔滨会展中心店)	经济型	哈尔滨南岗区南直路312号	¥ 158起	哈尔滨经济型酒店好评第94（共137家）	4.3	156	真的很好,性价比好高。前台小姐姐给升级了家庭房,房间很大
哈尔滨	四季云端宾馆(哈尔滨黑龙江大学学府路店)		哈尔滨南岗区学府三道街48号黑龙江大学北门，理工大学对面	¥ 141起	哈尔滨同档次酒店好评第1525（共10619家）	4.5	377	很干净,空调也很暖和。b区服务员大哥人很好
哈尔滨	哈尔滨国力宾馆(理工大学学府路店)		哈尔滨南岗区南开街3号	暂无报价	哈尔滨同档次酒店好评第1322（共9755家）	4.4	132	环境好,卫生特别干净,交通方便。集体的卫生特别干净,服务态度好
哈尔滨	雪谷映山红客栈		五常山河屯林业局东升林场	¥ 213起	哈尔滨同档次酒店好评第118（共10619家）	5.0	126	冻柿子冻梨。去周围玩都很方便,住的很舒服,睡得是炕
哈尔滨	金盛源青年旅舍(哈尔滨哈西站店)		哈尔滨南岗区西宁北路79号	暂无报价	哈尔滨同档次酒店好评第2115（共9628家）	2.6	217	老板人非常nice
哈尔滨	哈尔滨海韵商务酒店	三星级	哈尔滨南岗区西大直街19号	暂无报价	哈尔滨三星级酒店好评第141（共226家）	4.4	63	房间干干净净,一如最早三星级的标准。酒店位置好,距车站近,周边交通方便
哈尔滨	汉庭酒店(哈尔滨会展中心长江路店)	经济型	哈尔滨南岗区华山路63号	¥ 158起	哈尔滨经济型酒店好评第43（共137家）	4.6	75	餐厅阿姨服务态度特别好。餐厅阿姨服务态度特别好,餐厅卫生干净
哈尔滨	哈尔滨丁香假日宾馆(中央大街店)		哈尔滨道里区红霞街6号	暂无报价	哈尔滨同档次酒店好评第1853（共9628家）	3.8	120	逛街特别方便,景色真的很好。服务很好,位置又好,中央大街出去就是啦
哈尔滨	金爵精品酒店(哈尔滨西站万达广场店)	高档型	哈尔滨南岗区哈尔滨大街西宁南路3号金爵万象二期A栋17层	暂无报价	哈尔滨高档型酒店好评第17（共138家）	4.8	1254	干净卫生环境好,下次还住。前台人员服务很好,早餐种类丰富
哈尔滨	哈尔滨冰雪大世界融创乐园丽呈睿轩酒店	舒适型	哈尔滨松北区科技二街1111-2号	暂无报价	哈尔滨舒适型酒店好评第69（共167家）	4.6	299	比想象中要好,空间够用。住宿环境很好,工作人员热情负责
哈尔滨	哈尔滨水逸城市酒店		哈尔滨南岗区中兴大道139号	暂无报价	哈尔滨同档次酒店好评第787（共9628家）	4.6	240	客房阿姨很好,给了我一个一次性的浴缸套。009服务热情,房间很干净
哈尔滨	哈尔滨信诚阳光商务公寓		哈尔滨呼兰区利民开发区学院路志华商城17栋	暂无报价	哈尔滨同档次酒店好评第1611（共9628家）	4.1	150	宾馆很好,交通也方便。非常值得推荐,房间没有任何异味
哈尔滨	楠天宾馆(哈尔滨建国北二街店)		哈尔滨道里区哈药路200号	暂无报价	哈尔滨同档次酒店好评第1842（共9628家）	3.8		
哈尔滨	哈尔滨滨钢宾馆(省医院店)		哈尔滨香坊区香坊大街55号	暂无报价	哈尔滨同档次酒店好评第1290（共9605家）	4.4	181	各方面都不错,价格亲民。各方面没得说,价格还低
哈尔滨	哈尔滨宾果宾馆		哈尔滨香坊区木材东街26-8号	暂无报价		暂无评分	暂无评论	
